,Statute,OffenseDescription,OffenseDescription2,OffenseType
365,11 601 B3,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
366,11 601(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
367,11 709 A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
368,11 709 AO,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
369,11 804,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
370,11 804 -D,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
371,11 ILCS 501/D (1) G,DUI,DUI,DUI/vehicle offense
372,11- 801,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
373,11--5/21-1-A-1,Criminal damage to property,Criminal damage to property/institutional vandalism,Propert offense
374,11--5/3-707-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
375,11--5/31-1-A,Resisting or obstructing a peace officer,Obstructing justice/resisting or obstructing peace officer,Public order offense
376,11-002(A)  TU-045860,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
377,11-006,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
378,11-0402,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
379,11-100.(G),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
380,11-1002,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
381,11-1003,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
382,11-1006,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
383,11-1007,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
384,11-1007-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
385,11-1007(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
386,11-1007/79920699,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
387,11-1010,Consuming alcohol in public,Other public order offense,Public order offense
388,11-106(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
389,11-11204,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
390,11-12-070,Other offense,Other public order offense,Public order offense
391,11-12-4(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
392,11-1201,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
393,11-1201-A-2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
394,11-1201-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
395,11-1201.A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
396,11-12014-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
397,11-1202,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
398,11-1203.1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
399,11-1204,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
400,11-1204 (B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
401,11-1204 B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
402,11-1204-(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
403,11-1204-6,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
404,11-1204-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
405,11-1204-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
406,11-1204-B0,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
407,11-1204-C,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
408,11-1204.1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
409,11-1204(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
410,11-1204(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
411,11-1204(D),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
412,11-12046,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
413,11-1204B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
414,11-1204B YH-332-484,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
415,11-1205,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
416,11-1301,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
417,11-1301-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
418,11-1301-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
419,11-1301.3,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
420,11-1301.3-A-1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
421,11-1301(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
422,11-1303,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
423,11-1303 (A)(1),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
424,11-1303-A-3-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
425,11-1303/30591830,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
426,11-1303/76200707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
427,11-1303/76480470,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
428,11-1304,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
429,11-1305,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
430,11-1401,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
431,11-1402,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
432,11-1406,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
433,11-1407,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
434,11-1412,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
435,11-1412.1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
436,11-1413,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
437,11-1413(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
438,11-1414,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
439,11-1414-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
440,11-1416,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
441,11-1425-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
442,11-1425A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
443,11-1426.1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
444,11-1427.4,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
445,11-1427.4 DISREGARDED SIGNAL,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
446,11-1502,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
447,11-1505,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
448,11-1505A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
449,11-1507,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
450,11-1507-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
451,11-1511,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
452,11-1511(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
453,11-1601(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
454,11-1704B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
455,11-2(B),Battery,Battery/aggravated battery/henious battery,Person offense
456,11-201-1B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
457,11-201-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
458,11-2014-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
459,11-202.15(C),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
460,11-203,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
461,11-204,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
462,11-204-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
463,11-204-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
464,11-204-B0,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
465,11-204.1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
466,11-204.1-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
467,11-204.1-A-2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
468,11-204.1-A-4,Fleeing or eluding a peace officer,Fleeing or eluding police,DUI/vehicle offense
469,11-204.1(1)(4),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
470,11-204.4-A-4,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
471,11-204(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
472,11-204(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
473,11-204A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
474,11-204A0,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
475,11-204B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
476,11-209,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
477,11-25.2,Other offense,Other public order offense,Public order offense
478,11-301,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
479,11-301-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
480,11-303,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
481,11-305,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
482,11-305 A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
483,11-305-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
484,11-305-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
485,11-305-E,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
486,11-305(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
487,11-305(A)305,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
488,11-305A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
489,11-305B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
490,11-306,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
491,11-306-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
492,11-306-C,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
493,11-306(A)(1),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
494,11-306(C)(1),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
495,11-306(C)1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
496,11-30600,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
497,11-306A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
498,11-306C,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
499,11-308-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
500,11-309,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
501,11-312,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
502,11-370700,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
503,11-4-1125,Other offense,Other public order offense,Public order offense
504,11-4-1160(D),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
505,11-4-1160(D)    TN-224-422,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
506,11-4-2800,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
507,11-4-2900,Other offense,Other public order offense,Public order offense
508,11-4-740,Other offense,Other public order offense,Public order offense
